userId,movie_list
23,"['Twelve Monkeys (a.k.a. 12 Monkeys)', 'Seven (a.k.a. Se7en)', 'Usual Suspects, The', 'Clerks', 'Léon: The Professional (a.k.a. The Professional) (Léon)']"
24,"['Casino', 'Four Rooms', 'Leaving Las Vegas', 'Usual Suspects, The', 'Happy Gilmore']"
25,"['Big Lebowski, The', 'Clueless', 'Kids', 'Clerks', 'Ghost']"
26,"['Usual Suspects, The', 'Pulp Fiction', 'Shawshank Redemption, The', 'Forrest Gump', 'Four Weddings and a Funeral']"
27,"['Groundhog Day', 'When Harry Met Sally...', 'Titanic', 'Austin Powers: The Spy Who Shagged Me', 'Iron Giant, The']"
28,"['Burnt by the Sun (Utomlyonnye solntsem)', 'Pulp Fiction', 'Addams Family Values', 'True Romance', 'Forrest Gump']"
29,"['Braveheart', 'Billy Madison', 'Immortal Beloved', 'Interview with the Vampire: The Vampire Chronicles', 'Outbreak']"
30,"['Pinocchio', 'Life Is Beautiful (La Vita è bella)', 'Green Mile, The', 'Sleepers', 'Seven Beauties (Pasqualino Settebellezze)']"
31,"['Braveheart', 'Star Wars: Episode IV - A New Hope', 'Star Wars: Episode V - The Empire Strikes Back', 'Star Wars: Episode VI - Return of the Jedi', 'Pitch Black']"
32,"['Usual Suspects, The', 'Pulp Fiction', 'Shawshank Redemption, The', 'Maverick', 'Trainspotting']"
33,"['Léon: The Professional (a.k.a. The Professional) (Léon)', 'Sleeper', 'Princess Bride, The', 'Army of Darkness', 'Annie Hall']"
34,"['Toy Story', 'GoldenEye', 'Sense and Sensibility', 'Apollo 13', 'Crimson Tide']"
35,"['Seven (a.k.a. Se7en)', 'Usual Suspects, The', 'Taxi Driver', 'Léon: The Professional (a.k.a. The Professional) (Léon)', 'Pulp Fiction']"
36,"['Enemy of the State', 'Bad Boys', 'Sling Blade', 'Last of the Mohicans, The', 'Conspiracy Theory']"
37,"['English Patient, The', 'L.A. Confidential', 'Scream', 'Evita', 'Kolya (Kolja)']"
38,"['Sabrina', ""Mr. Holland's Opus"", 'Apollo 13', 'Walk in the Clouds, A', 'Disclosure']"
39,"['Toy Story', 'Heat', 'Dead Man Walking', 'Star Wars: Episode IV - A New Hope', 'Leaving Las Vegas']"
40,"['Taxi Driver', 'Hoop Dreams', 'Crooklyn', 'Swingers', 'Wings of Desire (Himmel über Berlin, Der)']"
41,"['Postman, The (Postino, Il)', 'Casablanca', ""It's a Wonderful Life"", 'African Queen, The', 'Fly Away Home']"
42,"['Silence of the Lambs, The', 'Wallace & Gromit: A Close Shave', 'Wallace & Gromit: The Wrong Trousers', 'Sting, The', 'Star Trek VI: The Undiscovered Country']"
43,"['Little Women', 'Forrest Gump', 'First Wives Club, The', 'Emma', 'Sliding Doors']"
44,"['Wallace & Gromit: The Best of Aardman Animation', 'Godfather, The', ""It's a Wonderful Life"", 'Monty Python and the Holy Grail', 'Cinema Paradiso (Nuovo cinema Paradiso)']"
45,"['Auntie Mame', 'Nightmare Before Christmas, The', 'Women, The', 'Monsoon Wedding', 'Gone with the Wind']"
46,"['Get Shorty', 'Leaving Las Vegas', 'Dead Man Walking', 'To Die For', 'Mighty Aphrodite']"
47,"['Princess Bride, The', 'History of the World: Part I', 'Black Sheep', 'Fargo', 'Lord of the Rings: The Fellowship of the Ring, The']"
48,"['Leaving Las Vegas', 'Restoration', 'Usual Suspects, The', 'Pulp Fiction', 'Shawshank Redemption, The']"
49,"['Usual Suspects, The', 'Pulp Fiction', 'Band of Brothers', 'In the Name of the Father', 'Seven Samurai (Shichinin no samurai)']"
50,"['Before Sunrise', 'Pulp Fiction', 'Reality Bites', 'Casablanca', '2001: A Space Odyssey']"
51,"['Seven (a.k.a. Se7en)', 'Usual Suspects, The', 'Dumb & Dumber (Dumb and Dumber)', 'Pulp Fiction', 'Shawshank Redemption, The']"
52,"['Jurassic Park', 'Babe', 'Braveheart', 'Legends of the Fall', 'True Lies']"
53,"['Get Shorty', 'City of Lost Children, The (Cité des enfants perdus, La)', 'Usual Suspects, The', 'Postman, The (Postino, Il)', ""Star Maker, The (Uomo delle stelle, L')""]"
54,"['American President, The', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Dead Man Walking', 'Braveheart', 'Die Hard: With a Vengeance']"
55,"['Star Wars: Episode IV - A New Hope', 'Godfather, The', 'Star Wars: Episode V - The Empire Strikes Back', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)', 'Godfather: Part II, The']"
56,"['Usual Suspects, The', 'Braveheart', 'Flirting With Disaster', 'Hoop Dreams', 'Pulp Fiction']"
57,"['Jurassic Park', 'Dances with Wolves', 'Butch Cassidy and the Sundance Kid', 'Last of the Mohicans, The', 'Master and Commander: The Far Side of the World']"
58,"['Toy Story', 'Get Shorty', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Babe', 'Seven (a.k.a. Se7en)']"
59,"['Toy Story', 'Shawshank Redemption, The', ""Muriel's Wedding"", 'Godfather, The', 'Cinema Paradiso (Nuovo cinema Paradiso)']"
60,"['Princess Bride, The', 'Labyrinth', 'Harry Potter and the Chamber of Secrets', 'City of God (Cidade de Deus)', 'Harry Potter and the Prisoner of Azkaban']"
61,"['Clueless', 'Dazed and Confused', 'Trainspotting', 'Monty Python and the Holy Grail', 'Clockwork Orange, A']"
62,"['Hackers', 'Boys on the Side', 'Shawshank Redemption, The', 'Heathers', 'Dark Crystal, The']"
63,"[""Schindler's List"", 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'Casablanca', 'Gone with the Wind', 'African Queen, The']"
64,"['Seven (a.k.a. Se7en)', 'Braveheart', 'Apollo 13', 'Batman Forever', 'Net, The']"
65,"['Shawshank Redemption, The', 'Forrest Gump', 'Aladdin', 'Harold and Maude', 'Watership Down']"
66,"['Get Shorty', 'Braveheart', 'Clerks', 'Forrest Gump', 'Wallace & Gromit: A Close Shave']"
67,"['Leaving Las Vegas', 'Rob Roy', 'Star Wars: Episode IV - A New Hope', 'Dances with Wolves', 'Rock, The']"
68,"['Babe', ""What's Eating Gilbert Grape"", 'Dances with Wolves', 'GoldenEye', 'Something to Talk About']"
69,"['Twelve Monkeys (a.k.a. 12 Monkeys)', 'Seven (a.k.a. Se7en)', 'Star Wars: Episode IV - A New Hope', 'Terminator 2: Judgment Day', ""One Flew Over the Cuckoo's Nest""]"
70,"['Heat', 'Casino', 'Natural Born Killers', 'Pulp Fiction', 'True Romance']"
71,"['Shawshank Redemption, The', 'Forrest Gump', 'Good Will Hunting', 'Life Is Beautiful (La Vita è bella)', 'Fight Club']"
72,"['Twelve Monkeys (a.k.a. 12 Monkeys)', 'Braveheart', 'Pulp Fiction', 'True Lies', 'Philadelphia']"
73,"['Babe', 'Georgia', 'Braveheart', 'Apollo 13', 'Pulp Fiction']"
74,"['Leaving Las Vegas', 'Postman, The (Postino, Il)', 'Fargo', 'Godfather, The', 'Vertigo']"
75,"['Clueless', 'Apollo 13', 'Crimson Tide', 'Shawshank Redemption, The', 'Forrest Gump']"
76,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)', 'Star Wars: Episode VI - Return of the Jedi', 'Amadeus', 'Indiana Jones and the Last Crusade', 'Gettysburg']"
77,"['Blade Runner', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', '2001: A Space Odyssey', 'Star Wars: Episode V - The Empire Strikes Back', 'Lawrence of Arabia']"
78,"['Strange Days', 'Star Wars: Episode IV - A New Hope', 'Blade Runner', 'Willy Wonka & the Chocolate Factory', 'Escape from New York']"
79,"['Billy Elliot', 'Crouching Tiger, Hidden Dragon (Wo hu cang long)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le)"", 'Lord of the Rings: The Fellowship of the Ring, The', 'Braveheart']"
80,"['Star Wars: Episode IV - A New Hope', 'Star Wars: Episode VI - Return of the Jedi', 'Sling Blade', 'Jerry Maguire', 'Dead Man Walking']"
81,"['Forrest Gump', 'Silence of the Lambs, The', 'Independence Day (a.k.a. ID4)', 'Gone with the Wind', 'Platoon']"
82,"['Toy Story', 'Seven (a.k.a. Se7en)', 'Usual Suspects, The', 'Braveheart', 'Shawshank Redemption, The']"
83,"['Pulp Fiction', 'Shining, The', 'Waiting for Guffman', 'Say Anything...', 'Lord of the Rings: The Fellowship of the Ring, The']"
84,"['Toy Story', 'Apollo 13', 'Die Hard: With a Vengeance', 'Net, The', 'Species']"
85,"[""Singin' in the Rain"", 'Charade', 'Roman Holiday', 'Top Hat', 'Thin Man, The']"
86,"['Shawshank Redemption, The', 'Star Wars: Episode IV - A New Hope', 'People vs. Larry Flynt, The', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)', 'Back to the Future']"
87,"['Usual Suspects, The', 'Dolores Claiborne', 'Fugitive, The', 'Silence of the Lambs, The', 'Birdcage, The']"
88,"['Unforgiven', 'Godfather, The', 'Apocalypse Now', 'Goodfellas', 'Election']"
89,"['Taxi Driver', 'Shawshank Redemption, The', 'Horseman on the Roof, The (Hussard sur le toit, Le)', 'Godfather, The', 'Abyss, The']"
90,"['Forrest Gump', 'American Beauty', 'Who Framed Roger Rabbit?', 'Harry Potter and the Prisoner of Azkaban', 'Seven (a.k.a. Se7en)']"
91,"['Richard III', 'Braveheart', 'Godfather, The', 'Monty Python and the Holy Grail', 'Cinema Paradiso (Nuovo cinema Paradiso)']"
92,"['Crumb', 'Reservoir Dogs', ""One Flew Over the Cuckoo's Nest"", 'Godfather: Part II, The', 'Young Frankenstein']"
93,"['Toy Story', 'Copycat', ""Mr. Holland's Opus"", 'Misérables, Les', 'Muppet Treasure Island']"
94,"['Cool Hand Luke', 'Apollo 13', 'Vertigo', 'Bridge on the River Kwai, The', 'Saw']"
95,"['Nobody Loves Me (Keiner liebt mich)', 'Shadowlands', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'How to Make an American Quilt', 'Misérables, Les']"
96,"['Blade Runner', 'Minority Report', 'Spirited Away (Sen to Chihiro no kamikakushi)', 'Incredibles, The', 'Thank You for Smoking']"
97,"['Forrest Gump', 'Being John Malkovich', 'Toy Story 2', 'Almost Famous', 'Toy Story']"
98,"['Forrest Gump', 'Ghost in the Shell (Kôkaku kidôtai)', 'Dark City', ""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone)"", 'Harry Potter and the Chamber of Secrets']"
99,"['Pulp Fiction', 'Silence of the Lambs, The', 'Fight Club', 'Blazing Saddles', 'Memento']"
100,"['Usual Suspects, The', 'Léon: The Professional (a.k.a. The Professional) (Léon)', 'Alphaville (Alphaville, une étrange aventure de Lemmy Caution)', 'Waiting for Guffman', 'Leaving Las Vegas']"
101,"['Leaving Las Vegas', 'Dead Man Walking', 'Seven (a.k.a. Se7en)', 'Usual Suspects, The', 'Birdcage, The']"
102,"['Star Wars: Episode IV - A New Hope', 'Shawshank Redemption, The', 'Blade Runner', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', ""It's a Wonderful Life""]"
103,"[""Breakfast at Tiffany's"", 'Sabrina', 'Dirty Dancing', 'Dead Poets Society', 'Shining, The']"
104,"['Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)', 'Vanya on 42nd Street', 'In the Name of the Father', ""Schindler's List"", 'Wallace & Gromit: The Best of Aardman Animation']"
105,"['Lawnmower Man 2: Beyond Cyberspace', 'Star Wars: Episode IV - A New Hope', 'Multiplicity', 'Twister', 'Spy Hard']"
106,"['Godfather, The', 'Godfather: Part II, The', 'Man on the Moon', 'Reservoir Dogs', 'Scarface']"
107,"['Fox and the Hound, The', ""Monty Python's Life of Brian"", 'Terminator, The', 'Back to the Future', 'Breakfast Club, The']"
108,"['Nixon', 'Taxi Driver', 'Ed Wood', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Clueless']"
109,"['Like Water for Chocolate (Como agua para chocolate)', 'Shawshank Redemption, The', 'Hudsucker Proxy, The', 'Godfather, The', 'Alice in Wonderland']"
110,"['Apollo 13', 'Forrest Gump', 'Fugitive, The', 'Jurassic Park', 'Sleepless in Seattle']"
111,"['Hurricane, The', 'Notebook, The', 'Talladega Nights: The Ballad of Ricky Bobby', 'Knocked Up', 'Shawshank Redemption, The']"
112,"['Dead Man Walking', 'In the Name of the Father', 'Rear Window', '12 Angry Men', 'Waiting for Guffman']"
113,"['Sabrina', 'Sense and Sensibility', 'Persuasion', 'Dead Man Walking', 'Mary Reilly']"
114,"['Sense and Sensibility', 'Othello', 'Cry, the Beloved Country', 'Mighty Aphrodite', 'Postman, The (Postino, Il)']"
115,"['Pulp Fiction', 'Seven (a.k.a. Se7en)', 'Reservoir Dogs', 'Delicatessen', 'Jackie Brown']"
116,"['Die Hard: With a Vengeance', 'Léon: The Professional (a.k.a. The Professional) (Léon)', 'Ref, The', 'Star Wars: Episode VI - Return of the Jedi', 'Saving Private Ryan']"
117,"['Grumpier Old Men', 'Father of the Bride Part II', 'Specialist, The', 'It Could Happen to You', 'Speed']"
118,"['Usual Suspects, The', 'Pulp Fiction', 'Fargo', 'Some Folks Call It a Sling Blade', 'Wizard of Oz, The']"
119,"['Babe', 'Pocahontas', 'Apollo 13', 'Interview with the Vampire: The Vampire Chronicles', 'Crow, The']"
120,"['Get Shorty', 'Seven (a.k.a. Se7en)', 'Usual Suspects, The', 'Crimson Tide', 'Forrest Gump']"
121,"['Star Wars: Episode IV - A New Hope', 'Pulp Fiction', 'Godfather, The', 'Star Wars: Episode V - The Empire Strikes Back', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)']"
122,"['Sense and Sensibility', 'Postman, The (Postino, Il)', 'Beauty of the Day (Belle de jour)', 'Like Water for Chocolate (Como agua para chocolate)', 'Madness of King George, The']"
123,"['Trainspotting', 'Four Rooms', 'Boys of St. Vincent, The', 'GoldenEye', 'Money Train']"
124,"['Toy Story', 'Heat', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'To Die For', 'Seven (a.k.a. Se7en)']"
125,"['All About My Mother (Todo sobre mi madre)', 'Others, The', 'Mulholland Drive', 'Identity', 'Kiss Kiss Bang Bang']"
126,"['Toy Story', 'Grumpier Old Men', 'Father of the Bride Part II', 'Nixon', ""Mr. Holland's Opus""]"
127,"['Father of the Bride Part II', 'Sudden Death', 'Copycat', 'Dangerous Minds', 'Seven (a.k.a. Se7en)']"
128,"['Apollo 13', 'Blues Brothers, The', 'Men in Black (a.k.a. MIB)', 'Stripes', 'Titanic']"
129,"['Donnie Darko', 'Manic', 'Juno', 'Forgetting Sarah Marshall', 'I Love You, Man']"
130,"['Leaving Las Vegas', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Dead Man Walking', 'Usual Suspects, The', 'Disclosure']"
131,"['Rocky IV', 'Holiday, The', 'Rocky II', 'Rocky III', 'Gladiator']"
132,"['Leaving Las Vegas', 'City of Lost Children, The (Cité des enfants perdus, La)', 'To Die For', 'Taxi Driver', 'Heavenly Creatures']"
133,"['Twelve Monkeys (a.k.a. 12 Monkeys)', 'Nightmare Before Christmas, The', 'Dark City', 'Life Is Beautiful (La Vita è bella)', 'American History X']"
134,"['Casino', 'Usual Suspects, The', 'Flirting With Disaster', 'Kids', 'Pulp Fiction']"
135,"[""Mr. Holland's Opus"", 'Misérables, Les', ""Schindler's List"", 'Misérables, Les', 'Lord of the Rings: The Fellowship of the Ring, The']"
136,"['Toy Story', 'Apollo 13', 'Forrest Gump', 'Wizard of Oz, The', 'Dead Poets Society']"
137,"['Heat', 'Braveheart', 'Star Wars: Episode IV - A New Hope', 'Pulp Fiction', 'Shawshank Redemption, The']"
138,"['Braveheart', 'Shawshank Redemption, The', 'Forrest Gump', 'Fugitive, The', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)']"
139,"['Striptease', 'Wedding Planner, The', ""Knight's Tale, A"", 'Dumb & Dumber (Dumb and Dumber)', 'Snatch']"
140,"['Leaving Las Vegas', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Usual Suspects, The', 'French Twist (Gazon maudit)', 'Apollo 13']"
141,"['Seven (a.k.a. Se7en)', 'Shawshank Redemption, The', ""One Flew Over the Cuckoo's Nest"", 'Dark Knight, The', 'Usual Suspects, The']"
142,"['Postman, The (Postino, Il)', 'Miracle on 34th Street', 'Forrest Gump', 'Jurassic Park', ""Schindler's List""]"
143,"['Birdcage, The', 'Time to Kill, A', 'Secrets & Lies', 'Long Kiss Goodnight, The', ""William Shakespeare's Romeo + Juliet""]"
144,"['Get Shorty', 'To Die For', 'Usual Suspects, The', 'Clerks', 'Fugitive, The']"
145,"['Maltese Falcon, The', 'Laura', 'Annie Hall', 'Touch of Evil', 'Chinatown']"
146,"['Apollo 13', 'Net, The', 'Stargate', 'While You Were Sleeping', 'Cliffhanger']"
147,"['Seven (a.k.a. Se7en)', 'Shawshank Redemption, The', 'Blade Runner', 'Nightmare Before Christmas, The', 'Silence of the Lambs, The']"
148,"['Sense and Sensibility', 'Only You', 'While You Were Sleeping', 'Forrest Gump', 'Dave']"
149,"['Toy Story', 'Judge Dredd', 'Stargate', 'Lion King, The', 'Mask, The']"
150,"[""Dr. Horrible's Sing-Along Blog"", 'Fox and the Hound, The', 'Pink Floyd: The Wall', 'G.I. Jane', 'Outsiders, The']"
151,"['Star Wars: Episode IV - A New Hope', 'Shawshank Redemption, The', ""Schindler's List"", 'Batman', 'Star Trek: First Contact']"
152,"['Clueless', 'Dumb & Dumber (Dumb and Dumber)', 'Home Alone', 'Batman', 'Edward Scissorhands']"
153,"['Usual Suspects, The', 'Braveheart', 'Taxi Driver', 'Clerks', 'Pulp Fiction']"
154,"['Before Sunrise', 'Clerks', 'Pulp Fiction', 'Casablanca', 'Saving Private Ryan']"
155,"['Pulp Fiction', 'Delicatessen', 'Big Lebowski, The', 'Office Space', 'Matrix, The']"
156,"['Toy Story', 'Jumanji', 'American President, The', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Usual Suspects, The']"
157,"['Braveheart', 'Star Wars: Episode IV - A New Hope', 'Legends of the Fall', 'Forrest Gump', 'Blade Runner']"
158,"['Nixon', 'Babe', 'Dead Man Walking', 'Seven (a.k.a. Se7en)', 'Postman, The (Postino, Il)']"
159,"['Toy Story', 'Sense and Sensibility', 'Babe', ""Schindler's List"", 'Secret Garden, The']"
160,"['Toy Story', 'American President, The', 'Get Shorty', 'Usual Suspects, The', 'Birdcage, The']"
161,"['8 1/2 (8½)', ""Schindler's List"", 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)', 'Army of Darkness', 'Poltergeist']"
162,"['Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'Delicatessen', 'Blind Swordsman: Zatoichi, The (Zatôichi)', 'Nightmare Before Christmas, The', 'Great Dictator, The']"
163,"['Seven (a.k.a. Se7en)', 'Shawshank Redemption, The', 'Matrix, The', 'Sixth Sense, The', 'Equilibrium']"
164,"['Heat', 'GoldenEye', 'Get Shorty', 'Leaving Las Vegas', 'Seven (a.k.a. Se7en)']"
165,"['Braveheart', 'Cure, The', 'Losing Isaiah', 'Firm, The', ""Schindler's List""]"
166,"['City of Lost Children, The (Cité des enfants perdus, La)', 'When We Were Kings', 'Cinema Paradiso (Nuovo cinema Paradiso)', 'Fantasia', 'Seven Beauties (Pasqualino Settebellezze)']"
167,"['Lord of the Rings: The Two Towers, The', 'WALL·E', 'Shawshank Redemption, The', 'Princess Bride, The', 'Matrix, The']"
168,"['City of Lost Children, The (Cité des enfants perdus, La)', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Taxi Driver', 'Mallrats', 'Clerks']"
169,"['Braveheart', 'Browning Version, The', 'Eat Drink Man Woman (Yin shi nan nu)', 'Dazed and Confused', 'Farewell My Concubine (Ba wang bie ji)']"
170,"['Copycat', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Seven (a.k.a. Se7en)', 'Léon: The Professional (a.k.a. The Professional) (Léon)', 'Four Weddings and a Funeral']"
171,"['Clerks', 'Forrest Gump', 'Alien', 'Army of Darkness', 'Terminator, The']"
172,"['Toy Story', 'Babe', 'Shawshank Redemption, The', 'Crimson Tide', 'Stargate']"
173,"['Seven (a.k.a. Se7en)', ""Monty Python's Life of Brian"", 'Memento', 'Donnie Darko', 'Lord of the Rings: The Return of the King, The']"
174,"['Lucky Number Slevin', 'Gladiator', 'Moulin Rouge', 'Black Hawk Down', 'Pirates of the Caribbean: The Curse of the Black Pearl']"
175,"['Forrest Gump', 'Godfather, The', ""One Flew Over the Cuckoo's Nest"", 'Sting, The', 'Unforgiven']"
176,"['Snow White and the Seven Dwarfs', 'Pretty Woman', 'Titanic', 'Notting Hill', ""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone)""]"
177,"['Silence of the Lambs, The', 'Dirty Dancing', 'Top Gun', 'Goonies, The', 'Practical Magic']"
178,"['Forrest Gump', 'Philadelphia Story, The', ""Singin' in the Rain"", 'Rear Window', 'Gaslight']"
179,"['Lord of the Rings: The Two Towers, The', 'Lord of the Rings: The Return of the King, The', 'Pocahontas', 'Sleepy Hollow', 'Shrek']"
180,"['Batman Begins', 'Thank You for Smoking', 'Pulp Fiction', 'Casino Royale', 'Blade Runner']"
181,"['My Fair Lady', '28 Days Later', 'Emma', '2001: A Space Odyssey', 'E.T. the Extra-Terrestrial']"
182,"['Evil Dead II (Dead by Dawn)', 'Animatrix, The', 'Bourne Ultimatum, The', 'Planet Terror', 'Dark Knight, The']"
183,"['Dumb & Dumber (Dumb and Dumber)', 'Pulp Fiction', 'Ace Ventura: Pet Detective', 'Demolition Man', 'Terminator 2: Judgment Day']"
184,"['Heat', 'Nixon', 'Richard III', 'Usual Suspects, The', 'Braveheart']"
185,"['Not Another Teen Movie', 'Shawshank Redemption, The', 'Forrest Gump', 'Silence of the Lambs, The', 'Crying Game, The']"
186,"['Don Juan DeMarco', 'Forrest Gump', 'Mrs. Doubtfire', 'Underground', ""One Flew Over the Cuckoo's Nest""]"
187,"['Forrest Gump', 'Silence of the Lambs, The', 'To Kill a Mockingbird', 'Apollo 13', 'Brazil']"
188,"['Jurassic Park', ""Schindler's List"", 'Postman, The (Postino, Il)', 'Apollo 13', 'Pulp Fiction']"
189,"['Toy Story', 'Braveheart', 'Clerks', 'Star Wars: Episode IV - A New Hope', 'Pulp Fiction']"
190,"['Secrets & Lies', 'Princess Bride, The', 'Fifth Element, The', 'Keith', 'Twelve Monkeys (a.k.a. 12 Monkeys)']"
191,"['Shawshank Redemption, The', 'Mystery Science Theater 3000: The Movie', 'Rear Window', 'Usual Suspects, The', ""Schindler's List""]"
192,"['Bottle Rocket', 'Bad Boys', 'Independence Day (a.k.a. ID4)', 'E.T. the Extra-Terrestrial', 'Army of Darkness']"
193,"['When Harry Met Sally...', 'Breakfast Club, The', 'Saving Private Ryan', 'View to a Kill, A', 'Spy Game']"
194,"['Star Wars: Episode IV - A New Hope', 'Star Wars: Episode V - The Empire Strikes Back', 'Star Wars: Episode VI - Return of the Jedi', 'Office Space', 'Star Wars: Episode I - The Phantom Menace']"
195,"['Clerks', 'Star Wars: Episode VI - Return of the Jedi', 'Elizabeth', 'Ravenous', ""William Shakespeare's A Midsummer Night's Dream""]"
196,"['Dirty Dancing', 'Top Gun', 'Princess Bride, The', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)', 'Aliens']"
197,"['Braveheart', 'Shawshank Redemption, The', 'Godfather: Part II, The', 'City of God (Cidade de Deus)', 'Dark Knight, The']"
198,"['Requiem for a Dream', 'Fountain, The', 'Usual Suspects, The', 'Léon: The Professional (a.k.a. The Professional) (Léon)', 'Pulp Fiction']"
199,"['Anne Frank Remembered', 'Lone Star', 'Bound', 'Big Night', 'Swingers']"
200,"['Heat', 'Get Shorty', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Apollo 13', 'Smoke']"
201,"['City of Lost Children, The (Cité des enfants perdus, La)', 'Before Sunrise', 'Blade Runner', 'Underground', 'Wallace & Gromit: The Best of Aardman Animation']"
202,"['Toy Story', 'Get Shorty', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Postman, The (Postino, Il)', 'Crumb']"
203,"['Twelve Monkeys (a.k.a. 12 Monkeys)', 'Apocalypse Now', 'Alien', 'Dune', '1984 (Nineteen Eighty-Four)']"
204,"['Toy Story', 'City of Lost Children, The (Cité des enfants perdus, La)', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Nightmare Before Christmas, The', 'Aladdin']"
205,"['Chungking Express (Chung Hing sam lam)', 'Blade Runner', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)', 'Heat', 'Seven (a.k.a. Se7en)']"
206,"['Like Water for Chocolate (Como agua para chocolate)', 'Shawshank Redemption, The', 'Princess Bride, The', 'Kama Sutra: A Tale of Love', 'Love Jones']"
